frame_id,capture_ms,resize_ms,cvtcolor_ms,input_prepare_ms,preprocess_ms,model_total_ms,draw_ms,write_ms,total_ms,fps,detect_count
0,11.886,11.617,0.855,0.006,12.478,27.251,0.136,0.000,51.763,19.319,1
1,148.885,9.289,0.395,0.001,9.685,24.571,0.253,0.000,183.397,5.453,4
2,167.685,7.330,0.531,0.002,7.862,37.157,0.489,0.000,213.198,4.690,2
3,159.069,9.675,0.468,0.001,10.144,38.524,0.261,0.000,208.005,4.808,1
4,161.684,9.653,0.392,0.001,10.046,37.814,0.771,0.000,210.322,4.755,5
5,153.310,9.573,0.459,0.002,10.034,38.774,0.752,0.000,202.880,4.929,4
6,152.410,9.599,0.450,0.001,10.050,38.321,0.280,0.000,201.069,4.973,1
7,153.338,9.181,0.502,0.001,9.684,38.140,0.452,0.000,201.623,4.960,2
8,153.490,9.402,0.421,0.002,9.825,38.318,0.379,0.000,202.020,4.950,2
9,153.524,9.440,0.417,0.002,9.858,37.464,0.702,0.000,201.556,4.961,4
10,154.166,9.577,0.393,0.001,9.972,38.759,0.559,0.000,203.462,4.915,3
11,152.772,9.447,0.407,0.001,9.856,39.261,0.636,0.000,202.533,4.937,4
12,152.638,9.650,0.415,0.002,10.067,37.682,0.678,0.000,201.074,4.973,4
13,153.372,9.425,0.425,0.002,9.852,37.544,0.558,0.000,201.333,4.967,3
14,154.279,9.481,0.501,0.001,9.983,37.191,0.606,0.000,202.068,4.949,3
15,154.025,9.615,0.383,0.002,10.000,37.706,0.358,0.000,202.099,4.948,2
16,154.213,9.333,0.434,0.001,9.769,37.386,0.446,0.000,201.822,4.955,2
17,154.442,9.190,0.484,0.002,9.675,37.977,0.755,0.000,202.857,4.930,4
18,153.879,9.587,0.442,0.002,10.030,38.103,0.722,0.000,202.743,4.932,4
19,153.247,9.738,0.437,0.001,10.176,38.236,0.888,0.000,202.555,4.937,6
20,152.746,8.351,0.419,0.001,8.772,26.510,0.159,0.000,188.193,5.314,2
21,164.891,8.423,0.377,0.001,8.802,24.302,0.194,0.000,198.191,5.046,3
22,169.039,8.489,0.383,0.001,8.874,24.452,0.189,0.000,202.557,4.937,3
23,168.854,8.516,0.414,0.001,8.932,24.342,0.339,0.000,202.470,4.939,6
24,168.708,8.648,0.382,0.001,9.032,35.825,0.522,0.000,214.091,4.671,3
25,159.124,8.779,0.476,0.002,9.257,37.754,0.619,0.000,206.762,4.836,4
26,154.640,8.624,0.417,0.002,9.043,38.125,0.507,0.000,202.324,4.943,3
27,154.488,8.817,0.461,0.001,9.279,38.068,0.519,0.000,202.364,4.942,3
28,154.349,8.888,0.446,0.002,9.336,38.466,0.533,0.000,202.694,4.934,3
29,154.014,8.733,0.423,0.002,9.158,37.523,0.266,0.000,200.970,4.976,1
30,155.256,8.594,0.410,0.001,9.005,37.994,0.644,0.000,202.906,4.928,4
31,154.793,9.121,0.515,0.002,9.638,42.060,0.430,0.000,206.929,4.833,2
32,150.547,9.205,0.487,0.002,9.694,37.939,0.439,0.000,198.627,5.035,2
33,154.825,8.640,0.463,0.002,9.104,38.399,0.284,0.000,202.620,4.935,1
34,153.562,8.842,0.477,0.002,9.321,38.429,0.611,0.000,201.930,4.952,3
35,153.966,8.914,0.475,0.002,9.391,37.580,0.520,0.000,201.463,4.964,3
36,154.802,8.757,0.441,0.001,9.199,37.804,0.260,0.000,202.072,4.949,1
37,155.053,8.889,0.433,0.002,9.324,38.290,0.554,0.000,203.229,4.921,3
38,154.170,8.683,0.414,0.002,9.099,38.213,0.662,0.000,202.152,4.947,4
39,154.090,8.780,0.445,0.002,9.227,37.726,0.516,0.000,201.566,4.961,3
40,155.307,8.240,0.452,0.002,8.694,37.476,0.625,0.000,202.109,4.948,4
41,155.152,8.452,0.401,0.002,8.855,37.540,0.498,0.000,202.053,4.949,3
42,155.312,8.807,0.462,0.001,9.270,37.616,0.676,0.000,202.881,4.929,4
43,154.756,8.801,0.485,0.001,9.287,39.485,0.267,0.000,203.804,4.907,1
44,153.464,8.746,0.436,0.002,9.184,37.294,0.647,0.000,200.597,4.985,3
45,155.326,8.219,0.443,0.002,8.664,38.102,0.381,0.000,202.480,4.939,2
46,155.039,8.299,0.454,0.002,8.755,37.639,0.741,0.000,202.181,4.946,4
47,155.178,8.772,0.412,0.002,9.186,38.140,0.820,0.000,203.332,4.918,5
48,154.195,8.524,0.428,0.002,8.955,39.532,0.782,0.000,203.471,4.915,5
49,152.974,8.945,0.446,0.002,9.393,37.847,0.497,0.000,200.719,4.982,3
50,154.553,8.550,0.436,0.002,8.988,37.925,0.600,0.000,202.074,4.949,4
51,155.063,8.741,0.470,0.002,9.214,37.723,0.615,0.000,202.623,4.935,4
52,154.574,8.715,0.415,0.002,9.132,37.912,0.551,0.000,202.177,4.946,3
53,155.091,8.652,0.406,0.002,9.060,37.726,0.427,0.000,202.312,4.943,2
54,154.892,8.892,0.464,0.001,9.357,37.274,0.501,0.000,202.032,4.950,3
55,155.266,9.508,0.434,0.001,9.943,37.476,0.640,0.000,203.332,4.918,4
56,154.353,8.283,0.402,0.001,8.686,37.639,0.526,0.000,201.211,4.970,3
57,153.419,8.338,0.404,0.001,8.743,24.628,0.200,0.000,186.994,5.348,3
58,168.974,4.684,0.389,0.001,5.074,35.846,0.431,0.000,210.330,4.754,2
59,163.377,8.662,0.455,0.001,9.118,37.759,0.605,0.000,210.867,4.742,3
